8,CA,472,2,1100,2200,CHX,M,2.33,628,10/11/2018
8A,CA,440,2,1110,2220,CHX,M,2.52,670,10/11/2018
8B,CA,500,1,1100,1100,CHX,M,2.2,600,10/11/2018
8D,CA,575,1,1300,1300,CHX,M,2.26,725,10/11/2018
8E,CA,550,1,1210,1210,CHX,M,2.2,660,10/11/2018
8H,CA,570,1,1340,1340,LMX,M,2.35,770,10/11/2018
8J,CA,560,1,1310,1310,CHX,M,2.34,750,10/11/2018
8R,CA,675,1,1500,1500,CHX,M,2.22,825,10/11/2018
8T,CA,570,1,1290,1290,CHX,M,2.26,720,10/11/2018
8X,CA,530,1,1200,1200,LMX,M,2.26,670,10/11/2018
9,CA,598,2,1240,2480,LMX,M,2.07,642,10/11/2018
9A,CA,520,2,1180,2360,LMX,M,2.27,660,10/11/2018
9C,CA,430,1,910,910,CHX,M,2.12,480,10/11/2018
9D,CA,455,2,590,1180,FR,M,1.3,135,10/11/2018
9E,CA,440,2,700,1400,AAX,M,1.59,260,10/11/2018
9T,CA,565,2,1280,2560,LMX,M,2.27,715,10/11/2018
9X,CA,545,1,1230,1230,LMX,M,2.26,685,10/11/2018
10,CA,463,3,930,2790,LMX,M,2.01,467,10/11/2018
10C,CA,332,2,655,1310,LMX,M,1.97,323,10/11/2018
10E,CA,360,2,760,1520,CHX,M,2.11,400,10/11/2018
10J,CA,310,1,600,600,LMX,M,1.94,290,10/11/2018
10X,CA,435,1,680,680,GAX,M,1.56,245,10/11/2018
11,CA,510,1,1170,1170,CHX,M,2.29,660,10/11/2018
11A,CA,540,1,1250,1250,LMX,M,2.31,710,10/11/2018
11B,CA,550,1,1100,1100,BBX,M,2,550,10/11/2018
11C,CA,540,1,1230,1230,CHX,M,2.28,690,10/11/2018
11D,CA,640,1,1130,1130,AAX,M,1.77,490,10/11/2018
11E,CA,580,1,925,925,AAX,M,1.59,345,10/11/2018
11H,CA,545,1,1210,1210,CHX,M,2.22,665,10/11/2018
11J,CA,550,1,925,925,LMX,M,1.68,375,10/11/2018
11R,CA,655,1,1100,1100,LMX,M,1.68,445,10/11/2018
11T,CA,535,1,925,925,AAX,M,1.73,390,10/11/2018
11X,CA,560,1,925,925,AAX,M,1.65,365,10/11/2018
12,CA,508,2,1140,2280,CHX,M,2.24,632,10/11/2018
12B,CA,500,3,1220,3660,CHX,M,2.44,720,10/11/2018
12J,CA,500,2,1110,2220,CHX,M,2.22,610,10/11/2018
12T,CA,460,2,1120,2240,CHX,M,2.43,660,10/11/2018
12X,CA,520,1,1110,1110,LMX,M,2.13,590,10/11/2018
13,CA,525,1,1270,1270,CH,M,2.42,745,10/11/2018
13B,CA,515,2,1200,2400,LMX,M,2.33,685,10/11/2018
13C,CA,490,1,1120,1120,LMX,M,2.29,630,10/11/2018
13D,CA,555,1,1200,1200,AAX,M,2.16,645,10/11/2018
13H,CA,515,2,1120,2240,CHX,M,2.17,605,10/11/2018
